rank;word;freq;#texts;%caps;blog;web;TVM;spok;fic;mag;news;acad;blogPM;webPM;TVMPM;spokPM;ficPM;magPM;newsPM;acadPM
3871;processing;22039;10760;0,08;2233;3507;651;784;713;2986;1704;9458;17,97;27,27;5,08;6,22;6,03;23,68;14,00;78,95
3872;alien;22038;9335;0,15;2641;3595;4423;877;5309;2261;907;2024;21,25;27,95;34,53;6,95;44,87;17,93;7,45;16,90
3873;sean;22037;8735;0,99;2051;2063;4163;5203;2136;2325;3793;296;16,51;16,04;32,50;41,25;18,05;18,44;31,16;2,47
3874;url=http;22028;992;0,00;11746;10277;0;0;0;0;0;5;94,53;79,91;0,00;0,00;0,00;0,00;0,00;0,04
3875;cited;22027;15323;0,05;2446;3365;139;1181;256;2351;4342;7947;19,69;26,16;1,09;9,36;2,16;18,65;35,67;66,34
3876;conservation;22025;7632;0,29;1612;2326;87;943;209;4523;3007;9317;12,97;18,09;0,68;7,48;1,77;35,87;24,70;77,78
3877;industries;22023;12348;0,21;2955;2945;555;1485;353;3833;3899;4887;23,78;22,90;4,33;11,77;2,98;30,40;32,03;40,80
3878;scholars;22008;10111;0,12;1590;2778;230;779;604;2337;1946;11744;12,80;21,60;1,80;6,18;5,10;18,53;15,98;98,04
3879;resulted;22006;16597;0,00;2603;3294;248;923;566;2622;2862;8887;20,95;25,61;1,94;7,32;4,78;20,79;23,51;74,19
3880;aircraft;21998;9120;0,05;2213;2449;985;4476;1106;4529;3963;2277;17,81;19,04;7,69;35,49;9,35;35,92;32,55;19,01
3881;ceiling;21993;13626;0,02;1690;1906;1263;2302;8090;3033;2546;1162;13,60;14,82;9,86;18,25;68,37;24,05;20,91;9,70
3882;races;21979;11919;0,04;3623;3354;887;2659;1896;2711;5099;1750;29,16;26,08;6,93;21,08;16,02;21,50;41,88;14,61
3883;tommy;21979;6430;0,97;1098;1005;8363;1816;5122;1868;2456;215;8,84;7,81;65,30;14,40;43,29;14,81;20,17;1,79
3884;matthew;21971;9835;0,99;2257;3908;2284;2553;3281;3019;3305;1354;18,16;30,39;17,83;20,24;27,73;23,94;27,15;11,30
3885;defeat;21950;15142;0,03;2972;3448;1937;2821;1461;3030;3794;2487;23,92;26,81;15,12;22,36;12,35;24,03;31,16;20,76
3886;producing;21948;16727;0,02;3356;3509;532;1630;806;4369;2858;4888;27,01;27,28;4,15;12,92;6,81;34,65;23,48;40,80
3887;shower;21946;13313;0,04;1790;2066;5538;1444;5571;3646;1430;458;14,41;16,06;43,24;11,45;47,08;28,92;11,75;3,82
3888;palm;21943;12880;0,41;1170;1650;1536;2138;7364;3909;3021;1155;9,42;12,83;11,99;16,95;62,24;31,00;24,81;9,64
3889;cognitive;21932;7271;0,10;1558;2740;193;314;228;2005;419;14474;12,54;21,30;1,51;2,49;1,93;15,90;3,44;120,83
3890;morgan;21931;8674;0,99;1840;2166;3578;2043;3072;2644;4729;1764;14,81;16,84;27,94;16,20;25,96;20,97;38,84;14,73
3891;furniture;21929;12526;0,08;1840;1960;1608;1185;4783;5626;3874;1053;14,81;15,24;12,56;9,39;40,42;44,62;31,82;8,79
3892;imagined;21927;15761;0,01;1654;1939;1512;1101;9164;2574;1343;2636;13,31;15,08;11,81;8,73;77,45;20,41;11,03;22,01
3893;beating;21920;16597;0,03;2554;2470;2884;3154;3508;2814;3891;643;20,55;19,20;22,52;25,00;29,65;22,32;31,96;5,37
3894;expecting;21920;17959;0,03;3193;2857;4241;2965;4231;1864;1954;614;25,70;22,21;33,11;23,51;35,76;14,78;16,05;5,13
3895;monster;21920;12309;0,21;2676;2785;6575;1420;3671;2368;1686;733;21,54;21,65;51,34;11,26;31,03;18,78;13,85;6,12
